STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
1,VIB,1.0,0,Fubon,25300,0
2,ICBV,3.0,25,VIB,25325,25
3,MSB,5.0,25,NCB,25325,25
4,SEAV,3.0,20,NABV,25320,20
5,ABBK,5.0,20,SEAV,25320,20
6,SEAV,5.0,25,BVBH,25325,25
7,OCB,2.5,2,VIB,25302,2
8,HDB,5.0,94,NCB,25394,94
9,ABBK,5.0,90,NCB,25390,90
10,EABS,1.0,98,LVBT,25398,98
11,EABS,1.0,0,MB,25300,0
12,ICBV,2.0,89,VPB,25389,89
13,OCB,2.0,2,MSB,25302,2
14,OCB,2.0,10,VPB,25310,10
15,ABBK,3.0,2,BVBH,25302,2
16,ABBK,4.0,94,NCB,25394,94
17,VPB,3.0,95,ABBK,25395,95
18,LVBT,15.0,0,ABBK,25300,0
19,TCB,3.0,5,ABBK,25305,5
20,ABBK,1.0,91,Fubon,25391,91
21,ABBK,1.0,99,Fubon,25399,99
22,MB,5.0,99,ABBK,25399,99
23,ICBV,2.0,7,VNTT,25307,7
24,ICBV,2.0,10,ACB,25310,10
25,MSB,2.0,10,ICBV,25310,10
26,SEAV,15.0,12,NABV,25312,12
27,VCCB,2.0,15,ICBV,25315,15
28,MSB,2.0,13,NCB,25313,13
29,MSB,3.0,20,ACB,25320,20
30,Fubon,3.0,0,ACB,25300,0
31,VIB,2.0,15,ICBV,25315,15
32,ABBK,5.0,15,VIB,25315,15
33,NCB,3.0,23,LVBT,25323,23
34,ABBK,5.0,22,NCB,25322,22
35,ABBK,5.0,22,VIB,25322,22
36,ABBK,5.0,25,MB,25325,25
37,MSB,3.0,15,MB,25315,15
38,NCB,3.0,18,MSB,25318,18
39,VIB,3.0,18,MB,25318,18
40,VIB,3.0,17,ICBV,25317,17
41,VIB,3.0,18,SABH,25318,18
42,SABH,2.0,25,ABBK,25325,25
43,SABH,1.0,30,Fubon,25330,30
44,ABBK,3.0,28,SABH,25328,28
45,VNTT,3.0,33,ABBK,25333,33
46,ABBK,3.0,32,MB,25332,32
47,ACB,3.0,33,MB,25333,33
48,ABBK,3.0,33,SEAV,25333,33
49,SEAV,2.0,30,NCB,25330,30
50,SEAV,2.0,27,ICBV,25327,27
51,VPB,2.0,22,MSB,25322,22
52,MSB,3.0,20,NCB,25320,20
53,ABBK,3.0,20,LVBT,25320,20
54,MSB,5.0,16,NCB,25316,16
55,KLBV,5.0,18,NCB,25318,18
56,Fubon,2.0,16,MSB,25316,16
57,MB,2.0,15,MSB,25315,15
58,MB,3.0,15,MSB,25315,15
59,MSB,5.0,25,ABBK,25325,25
60,VIB,2.0,38,SABH,25338,38
61,SEAV,3.0,35,SABH,25335,35
62,VIB,2.0,55,ICBV,25355,55
63,VIB,3.0,38,MB,25338,38
64,VIB,5.0,58,SABH,25358,58
65,BIDV,5.0,55,ICBV,25355,55
66,SABH,5.0,50,MSB,25350,50
67,MB,5.0,50,SABH,25350,50
68,SEAV,5.0,49,SABH,25349,49
69,HDB,5.0,0,SABH,25300,0
70,SABH,5.0,48,Indovina,25348,48
71,VCCB,10.0,45,VIB,25345,45
72,MSB,10.0,55,SEAV,25355,55
73,SEAV,10.0,3,ABBK,25303,3
74,MSB,3.0,47,BIDV,25347,47
75,BIDV,2.0,44,ABBK,25344,44
76,SABH,2.0,41,ABBK,25341,41
77,BIDV,10.0,35,MSB,25335,35
78,MB,3.0,38,BIDV,25338,38
79,MSB,10.0,40,BIDV,25340,40
80,SABH,3.0,33,BIDV,25333,33
81,BIDV,5.0,33,TCB,25333,33
82,SABH,5.0,25,TCB,25325,25
83,SEAV,1.0,25,Fubon,25325,25
84,VIB,5.0,30,SEAV,25330,30
85,SEAV,5.0,38,MSB,25338,38
86,SEAV,10.0,35,VPB,25335,35
87,VIB,5.0,33,SHB,25333,33
88,SEAV,5.0,33,VIB,25333,33
89,SEAV,3.0,33,LVBT,25333,33
90,LVBT,3.0,35,BVBH,25335,35
91,VIB,2.0,30,VCCB,25330,30
92,KLBV,2.0,33,VCCB,25333,33
93,VCCB,2.0,35,VIB,25335,35
94,TCB,2.0,35,MB,25335,35
95,VIB,5.0,35,TCB,25335,35
96,VIB,5.0,33,TCB,25333,33
97,VCCB,2.0,33,TCB,25333,33
98,VCCB,2.0,35,ACB,25335,35
99,ABBK,5.0,35,SEAV,25335,35
100,VCCB,5.0,33,SEAV,25333,33
101,KLBV,5.0,38,SEAV,25338,38
102,SEAV,5.0,36,SABH,25336,36
103,BIDV,3.0,34,ABBK,25334,34
104,BIDV,3.0,34,MB,25334,34
105,MSB,5.0,38,SEAV,25338,38
106,TCB,3.0,28,MB,25328,28
107,ABBK,2.0,31,KLBV,25331,31
108,SEAV,5.0,20,VPB,25320,20
109,VPB,5.0,23,SEAV,25323,23
110,VPB,5.0,24,VIB,25324,24
111,MB,5.0,23,VPB,25323,23
112,VCCB,1.0,23,MB,25323,23
113,NABV,3.0,23,MB,25323,23
114,MB,2.0,21,SEAV,25321,21
115,SEAV,2.0,20,ACB,25320,20
116,ACB,5.0,17,SEAV,25317,17
117,SEAV,3.0,19,ICBV,25319,19
118,SABH,2.0,12,MB,25312,12
119,MB,1.0,5,VPB,25305,5
120,VCB,5.0,3,TCB,25303,3
121,MSB,5.0,0,VIB,25300,0
122,TCB,5.0,2,MB,25302,2
123,ABBK,2.0,0,MSB,25300,0
124,ABBK,5.0,10,SEAV,25310,10
125,MSB,5.0,15,SEAV,25315,15
126,VPB,1.0,12,Fubon,25312,12
127,BIDV,5.0,13,MB,25313,13
128,MB,5.0,15,BVBH,25315,15
129,MSB,5.0,13,MB,25313,13
130,BVBH,5.0,2,LVBT,25302,2
131,VNTT,2.0,70,BIDV,25370,70
132,HDB,2.0,4,ICBV,25304,4
133,MB,2.0,0,ICBV,25300,0
134,HDB,2.0,10,ABBK,25310,10
135,BVBH,10.0,0,OCB,25300,0
136,SEAV,5.0,18,Fubon,25318,18
137,BIDV,5.0,20,SEAV,25320,20
138,SEAV,5.0,17,ICBV,25317,17
139,TCB,5.0,3,NCB,25303,3
140,VNTT,5.0,0,NCB,25300,0
141,VNTT,3.0,95,SABH,25395,95
142,SEAV,2.0,18,VCCB,25318,18
143,MSB,3.0,98,ACB,25398,98
144,MSB,3.0,0,KLBV,25300,0
145,SABH,3.0,96,MB,25396,96
146,MSB,5.0,96,MB,25396,96
147,MB,5.0,96,OCB,25396,96
148,ABBK,5.0,3,MB,25303,3
149,MB,2.0,0,Fubon,25300,0
150,MSB,1.0,95,Fubon,25395,95
