STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
1,NCB,2.0,22,ABBK,25322,22
2,ICBV,10.0,30,VIB,25330,30
3,ICBV,5.0,25,ABBK,25325,25
4,ICBV,10.0,25,NABV,25325,25
5,VIB,2.0,15,ICBV,25315,15
6,ICBV,2.0,22,VIB,25322,22
7,NCB,5.0,10,VIB,25310,10
8,VIB,5.0,13,BIDV,25313,13
9,KLBV,20.0,0,HDB,25300,0
10,OCB,2.5,13,VIB,25313,13
11,HDB,3.0,94,LVBT,25394,94
12,BIDV,5.0,0,MB,25300,0
13,BIDV,5.0,98,LVBT,25398,98
14,ABBK,2.0,86,ICBV,25386,86
15,MB,2.0,86,ICBV,25386,86
16,ICBV,2.0,89,VPB,25389,89
17,OCB,2.0,95,VPB,25395,95
18,OCB,2.0,93,MSB,25393,93
19,ABBK,0.5,90,BVBH,25390,90
20,ACB,4.0,93,ABBK,25393,93
21,LVBT,15.0,0,ABBK,25300,0
22,TCB,5.0,90,OCB,25390,90
23,VCB,2.0,93,VPB,25393,93
24,MB,2.0,92,VIB,25392,92
25,VPB,3.0,96,VIB,25396,96
26,VPB,2.0,95,VBAH,25395,95
27,VPB,3.0,96,VIB,25396,96
28,VPB,2.0,96,VBAH,25396,96
29,VCB,3.0,95,MB,25395,95
30,Fubon,1.0,0,ABBK,25300,0
31,MSB,5.0,99,ABBK,25399,99
32,VPB,2.0,5,SEAV,25305,5
33,SEAV,5.0,7,VNTT,25307,7
34,SEAV,2.0,10,ACB,25310,10
35,NABV,15.0,15,ICBV,25315,15
36,MSB,2.0,13,NCB,25313,13
37,Fubon,3.0,0,MSB,25300,0
38,ACB,3.0,14,SABH,25314,14
39,VIB,2.0,15,ICBV,25315,15
40,SEAV,3.0,20,VIB,25320,20
41,SEAV,3.0,18,SABH,25318,18
42,SEAV,3.0,18,KLBV,25318,18
43,ABBK,5.0,25,MB,25325,25
44,ABBK,5.0,25,LVBT,25325,25
45,ABBK,5.0,22,VIB,25322,22
46,ABBK,5.0,25,MB,25325,25
47,ABBK,2.0,22,NCB,25322,22
48,ABBK,5.0,25,MB,25325,25
49,KLBV,2.0,25,MB,25325,25
50,ICBV,2.0,20,MB,25320,20
51,TCB,5.0,12,MB,25312,12
52,TCB,3.0,10,MSB,25310,10
53,MSB,1.5,13,OCB,25313,13
54,MSB,3.0,15,VIB,25315,15
55,MSB,3.0,15,MB,25315,15
56,MSB,3.0,18,MB,25318,18
57,VIB,3.0,18,ABBK,25318,18
58,VIB,3.0,18,SABH,25318,18
59,VIB,3.0,17,ICBV,25317,17
60,MB,5.0,19,SHB,25319,19
61,MSB,2.0,22,SABH,25322,22
62,MSB,2.0,25,ABBK,25325,25
63,LVBT,1.0,30,Fubon,25330,30
64,LVBT,1.0,28,SABH,25328,28
65,SEAV,1.0,30,NCB,25330,30
66,VNTT,3.0,33,MB,25333,33
67,TCB,5.0,15,VIB,25315,15
68,VIB,2.0,17,MSB,25317,17
