STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
1,TPB,2.0,22,ABBK,25322,22
2,ICBV,10.0,30,VIB,25330,30
3,ICBV,5.0,25,ABBK,25325,25
4,ICBV,10.0,25,NABV,25325,25
5,VIB,2.0,15,ICBV,25315,15
6,ICBV,2.0,22,VIB,25322,22
7,NCB,5.0,10,VIB,25310,10
8,VIB,5.0,13,BIDV,25313,13
9,KLBV,20.0,0,HDB,25300,0
10,OCB,2.5,13,VIB,25313,13
11,PVCB,3.0,0,TPB,25300,0
12,HDB,3.0,94,LVBT,25394,94
13,BIDV,5.0,0,EIBV,25300,0
14,BIDV,5.0,98,LVBT,25398,98
15,ABBK,2.0,86,ICBV,25386,86
16,EIBV,2.0,86,ICBV,25386,86
17,ICBV,2.0,89,VPB,25389,89
18,OCB,2.0,95,VPB,25395,95
19,OCB,2.0,93,MSB,25393,93
20,ABBK,0.5,90,BVBH,25390,90
21,TPB,3.0,93,BVBH,25393,93
22,ACB,4.0,93,ABBK,25393,93
23,LVBT,15.0,0,TPB,25300,0
24,LVBT,15.0,0,ABBK,25300,0
25,TCB,5.0,90,OCB,25390,90
26,VCB,2.0,93,VPB,25393,93
27,SGTT,2.0,92,VIB,25392,92
28,SGTT,2.0,92,EIBV,25392,92
29,VPB,3.0,96,VIB,25396,96
30,VPB,2.0,95,VBAH,25395,95
31,VPB,3.0,96,VIB,25396,96
32,VPB,2.0,96,VBAH,25396,96
33,VCB,3.0,95,MB,25395,95
34,Fubon,1.0,0,ABBK,25300,0
35,MSB,5.0,99,ABBK,25399,99
36,VPB,2.0,5,SEAV,25305,5
37,SEAV,5.0,7,VNTT,25307,7
38,SEAV,2.0,10,ACB,25310,10
39,NABV,15.0,15,ICBV,25315,15
40,MSB,2.0,13,NCB,25313,13
41,Fubon,3.0,0,MSB,25300,0
42,ACB,3.0,14,SABH,25314,14
43,VIB,2.0,15,ICBV,25315,15
44,SEAV,3.0,20,VIB,25320,20
45,SEAV,3.0,18,SABH,25318,18
46,SEAV,3.0,18,KLBV,25318,18
47,TPB,5.0,25,MB,25325,25
48,TPB,5.0,25,LVBT,25325,25
49,TPB,5.0,25,PVCB,25325,25
50,TPB,2.0,22,NCB,25322,22
51,TPB,5.0,25,EIBV,25325,25
52,KLBV,2.0,25,MB,25325,25
53,ICBV,2.0,20,MB,25320,20
54,TCB,5.0,12,SGTT,25312,12
55,TCB,3.0,10,MSB,25310,10
56,MSB,1.5,13,OCB,25313,13
57,MSB,3.0,15,VIB,25315,15
58,TPB,3.0,12,MSB,25312,12
59,MSB,3.0,15,SGTT,25315,15
60,TPB,3.0,18,SGTT,25318,18
61,VIB,3.0,18,ABBK,25318,18
62,VIB,3.0,18,SABH,25318,18
63,VIB,3.0,17,ICBV,25317,17
64,PVCB,5.0,19,SHB,25319,19
65,MSB,2.0,22,SABH,25322,22
66,MSB,2.0,25,ABBK,25325,25
67,LVBT,1.0,30,Fubon,25330,30
68,LVBT,1.0,28,SABH,25328,28
69,MB,3.0,30,TPB,25330,30
70,SEAV,1.0,30,NCB,25330,30
71,VNTT,3.0,33,EIBV,25333,33
72,TCB,5.0,15,VIB,25315,15
73,VIB,2.0,17,MSB,25317,17
74,Fubon,0.5,16,Indovina,25316,16
75,MB,3.0,15,MSB,25315,15
76,MB,3.0,15,MSB,25315,15
77,MB,5.0,38,SABH,25338,38
78,SEAV,3.0,35,SABH,25335,35
79,MSB,2.0,55,ICBV,25355,55
80,NABV,5.0,52,ABBK,25352,52
81,SEAV,2.0,53,PVCB,25353,53
82,TPB,2.0,60,VBAH,25360,60
83,ABBK,5.0,50,MSB,25350,50
84,SEAV,10.0,60,LVBT,25360,60
85,SEAV,10.0,56,SABH,25356,56
86,SABH,0.5,48,Indovina,25348,48
87,VCCB,0.5,45,VIB,25345,45
88,VIB,5.0,55,ABBK,25355,55
89,VIB,3.0,55,ABBK,25355,55
90,TPB,3.0,50,LVBT,25350,50
91,ICBV,2.0,47,TPB,25347,47
92,MSB,3.0,47,BIDV,25347,47
93,SABH,2.0,41,ABBK,25341,41
94,SABH,2.0,41,BIDV,25341,41
95,SABH,2.0,38,PVCB,25338,38
96,MB,3.0,38,VBAH,25338,38
97,SABH,3.0,33,BIDV,25333,33
98,SABH,1.0,22,TCB,25322,22
99,SABH,5.0,25,TCB,25325,25
100,TPB,3.0,52,SHB,25352,52
101,VIB,3.0,30,TPB,25330,30
102,BIDV,5.0,42,SHB,25342,42
103,SEAV,2.0,35,VPB,25335,35
104,MSB,5.0,38,SHB,25338,38
105,OCB,5.0,35,ICBV,25335,35
106,OCB,5.0,33,SHB,25333,33
107,LVBT,3.0,35,BVBH,25335,35
108,VIB,5.0,30,TPB,25330,30
109,TPB,5.0,35,VIB,25335,35
110,NABV,0.5,29,Indovina,25329,29
111,BIDV,2.0,30,OCB,25330,30
112,MSB,2.0,35,SGTT,25335,35
113,ICBV,3.0,33,MSB,25333,33
114,VCCB,2.0,33,MSB,25333,33
115,TPB,2.0,35,ACB,25335,35
116,VCCB,0.5,49,VBAH,25349,49
117,VCCB,2.0,33,SEAV,25333,33
118,SEAV,5.0,40,BIDV,25340,40
119,SEAV,5.0,38,BIDV,25338,38
120,SEAV,5.0,36,SABH,25336,36
121,SEAV,3.0,35,TPB,25335,35
122,SABH,3.0,30,ABBK,25330,30
123,TCB,3.0,28,SGTT,25328,28
124,MSB,2.0,31,KLBV,25331,31
125,TCB,3.0,25,TPB,25325,25
126,SGTT,2.0,21,MB,25321,21
127,SEAV,5.0,20,LVBT,25320,20
128,ACB,5.0,17,SEAV,25317,17
129,SABH,2.0,12,ICBV,25312,12
130,MB,1.0,5,VPB,25305,5
131,TPB,1.0,8,MB,25308,8
132,VCB,1.0,3,MB,25303,3
133,TPB,2.0,3,MB,25303,3
134,TPB,2.0,2,PVCB,25302,2
135,TCB,2.0,0,TPB,25300,0
136,LVBT,2.0,5,MB,25305,5
137,SEAV,2.0,10,MB,25310,10
138,TPB,5.0,20,BIDV,25320,20
139,TPB,5.0,18,BIDV,25318,18
140,Fubon,1.0,15,VPB,25315,15
141,SGTT,2.0,15,BVBH,25315,15
142,BVBH,2.0,1,LVBT,25301,1
143,BVBH,2.0,2,LVBT,25302,2
144,VNTT,2.0,70,BIDV,25370,70
145,HDB,5.0,5,LVBT,25305,5
146,OCB,2.0,0,ICBV,25300,0
147,EIBV,2.0,0,ICBV,25300,0
148,MSB,2.0,10,ABBK,25310,10
149,SEAV,3.0,14,VCCB,25314,14
150,SEAV,5.0,18,Fubon,25318,18
151,SEAV,5.0,0,OCB,25300,0
152,SEAV,5.0,20,MSB,25320,20
153,SEAV,3.0,18,TCB,25318,18
154,SEAV,2.0,18,VCCB,25318,18
155,SEAV,5.0,17,ICBV,25317,17
156,TCB,3.0,7,SEAV,25307,7
157,TCB,5.0,5,SEAV,25305,5
158,TCB,5.0,3,SEAV,25303,3
159,VNTT,3.0,0,ABBK,25300,0
160,VCCB,3.0,5,MB,25305,5
161,VCCB,3.0,5,VIB,25305,5
162,MSB,3.0,95,VCCB,25395,95
163,VCCB,3.0,3,BIDV,25303,3
164,SABH,3.0,95,VCCB,25395,95
165,VCCB,3.0,0,PVCB,25300,0
166,VCCB,3.0,0,BIDV,25300,0
167,VCCB,3.0,0,OCB,25300,0
168,SABH,3.0,92,VCCB,25392,92
169,VCCB,3.0,0,ICBV,25300,0
170,SABH,3.0,95,VCCB,25395,95
171,ICBV,3.0,96,VCCB,25396,96
172,SABH,3.0,96,VCCB,25396,96
173,VCCB,2.0,0,Fubon,25300,0
174,VIB,2.0,96,OCB,25396,96
175,TCB,2.0,93,MSB,25393,93
176,MSB,3.0,95,PVCB,25395,95
177,SHB,5.0,94,VIB,25394,94
178,MB,2.0,96,Fubon,25396,96
179,ACB,2.0,0,MB,25300,0
180,HDB,2.0,96,ACB,25396,96
181,ACB,2.0,0,BIDV,25300,0
182,ACB,2.0,98,VIB,25398,98
183,SABH,2.0,95,PVCB,25395,95
184,SABH,2.0,95,PVCB,25395,95
185,ICBV,1.0,96,Fubon,25396,96
186,Fubon,1.0,0,VPB,25300,0
187,Fubon,1.0,0,MB,25300,0
188,SABH,3.0,0,BIDV,25300,0
189,SABH,3.0,0,EIBV,25300,0
190,ACB,2.0,98,BVBH,25398,98
191,SHB,3.0,93,ACB,25393,93
192,SHB,3.0,91,NCB,25391,91
193,SHB,3.0,93,VCB,25393,93
194,Fubon,2.0,91,ICBV,25391,91
195,Fubon,1.0,91,TPB,25391,91
196,TPB,1.0,95,VPB,25395,95
197,TPB,1.0,93,ICBV,25393,93
198,TPB,1.0,91,Fubon,25391,91
199,SABH,1.0,91,TCB,25391,91
200,TCB,5.0,94,MB,25394,94
201,ACB,3.0,93,NCB,25393,93
202,TCB,2.0,93,Fubon,25393,93
203,ACB,2.0,93,Fubon,25393,93
204,Fubon,2.0,98,VIB,25398,98
205,ACB,2.0,95,HDB,25395,95
206,TCB,12.0,95,HDB,25395,95
207,MB,2.0,0,OCB,25300,0
208,ACB,2.0,0,OCB,25300,0
209,ABBK,2.0,0,OCB,25300,0
210,TCB,2.0,0,OCB,25300,0
211,ICBV,2.0,0,OCB,25300,0
212,OCB,2.0,8,VIB,25308,8
213,OCB,2.0,9,VBAH,25309,9
214,OCB,2.0,7,MB,25307,7
215,VCB,2.0,0,OCB,25300,0
216,OCB,2.0,8,MSB,25308,8
217,Fubon,2.0,0,OCB,25300,0
218,SEAV,2.0,5,ICBV,25305,5
219,ACB,2.0,93,BVBH,25393,93
220,TCB,5.0,95,BVBH,25395,95
221,Fubon,1.0,96,BVBH,25396,96
222,BVBH,2.0,98,PVCB,25398,98
223,VPB,2.0,0,BIDV,25300,0
224,VPB,2.0,99,PVCB,25399,99
225,VNTT,1.0,7,ACB,25307,7
226,TPB,1.0,6,VNTT,25306,6
227,ACB,0.5,5,Indovina,25305,5
228,SEAV,0.5,90,Indovina,25390,90
229,NCB,5.0,90,VIB,25390,90
230,PVCB,2.0,88,VIB,25388,88
231,MSB,1.0,89,VBAH,25389,89
232,OCB,3.5,88,TCB,25388,88
233,BIDV,2.0,81,PVCB,25381,81
234,PVCB,10.0,85,NCB,25385,85
235,PVCB,2.0,82,VCCB,25382,82
236,PVCB,5.0,83,NCB,25383,83
237,MSB,2.0,80,PVCB,25380,80
238,MB,2.0,75,ACB,25375,75
239,SABH,2.0,75,ACB,25375,75
240,SABH,2.0,76,ACB,25376,76
241,SABH,2.0,77,ACB,25377,77
242,MB,2.0,78,ACB,25378,78
243,ACB,2.0,80,SABH,25380,80
244,ACB,2.0,80,VBAH,25380,80
245,TCB,3.0,82,SABH,25382,82
246,TCB,2.0,80,VBAH,25380,80
247,BIDV,2.0,76,TCB,25376,76
248,ACB,2.0,72,VPB,25372,72
249,PVCB,2.0,70,Fubon,25370,70
250,VPB,2.0,60,ACB,25360,60
251,NCB,2.0,65,ACB,25365,65
252,ICBV,2.0,60,ACB,25360,60
253,ACB,2.0,65,ICBV,25365,65
254,MSB,2.0,66,ACB,25366,66
255,ACB,3.0,70,BIDV,25370,70
256,OCB,2.0,67,ACB,25367,67
257,BIDV,2.0,75,ABBK,25375,75
258,MSB,1.0,72,Indovina,25372,72
259,NCB,2.0,75,ABBK,25375,75
260,OCB,1.0,75,BVBH,25375,75
261,TCB,3.0,77,ABBK,25377,77
262,MSB,3.0,77,VPB,25377,77
263,TCB,3.0,75,BIDV,25375,75
264,NCB,1.0,79,VBAH,25379,79
265,VIB,2.0,80,SABH,25380,80
266,ICBV,2.0,77,VIB,25377,77
267,ACB,3.0,80,SABH,25380,80
268,BIDV,1.0,82,MSB,25382,82
269,BIDV,1.0,76,VCCB,25376,76
270,NCB,1.0,80,BIDV,25380,80
271,VCCB,1.0,83,ICBV,25383,83
272,ICBV,2.0,80,VCB,25380,80
273,ACB,3.0,73,MSB,25373,73
274,TCB,2.0,72,BIDV,25372,72
275,LVBT,5.0,8,SABH,25308,8
276,VNTT,5.0,0,ICBV,25300,0
277,TPB,5.0,10,NCB,25310,10
278,SEAV,5.0,5,ICBV,25305,5
279,SGTT,4.0,98,VBAH,25398,98
280,Fubon,1.0,2,MB,25302,2
281,VCB,1.0,96,Fubon,25396,96
282,ACB,1.0,96,Fubon,25396,96
283,Fubon,1.0,0,MB,25300,0
284,OCB,1.0,0,Fubon,25300,0
285,MSB,2.0,99,PVCB,25399,99
286,SABH,1.0,92,ACB,25392,92
287,Fubon,1.0,60,VPB,25360,60
