STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
1,NCB,2.0,22,ABBK,25322,22
2,ICBV,10.0,30,VIB,25330,30
3,ICBV,5.0,25,ABBK,25325,25
4,ICBV,2.0,22,VIB,25322,22
5,NCB,5.0,10,VIB,25310,10
6,VIB,5.0,13,BIDV,25313,13
7,KLBV,20.0,0,HDB,25300,0
8,OCB,2.5,13,VIB,25313,13
9,HDB,3.0,94,LVBT,25394,94
10,BIDV,5.0,0,MB,25300,0
11,BIDV,5.0,98,LVBT,25398,98
12,ABBK,2.0,86,ICBV,25386,86
13,MB,2.0,86,ICBV,25386,86
14,ICBV,2.0,89,VPB,25389,89
15,OCB,2.0,95,VPB,25395,95
16,OCB,2.0,93,MSB,25393,93
17,ABBK,0.5,90,BVBH,25390,90
18,ACB,4.0,93,ABBK,25393,93
19,LVBT,15.0,0,ABBK,25300,0
20,TCB,5.0,90,OCB,25390,90
21,VCB,2.0,93,VPB,25393,93
22,MB,2.0,92,VIB,25392,92
23,VPB,3.0,96,VIB,25396,96
24,VCB,3.0,95,MB,25395,95
25,MSB,5.0,99,ABBK,25399,99
26,VPB,2.0,5,SEAV,25305,5
27,SEAV,5.0,7,VNTT,25307,7
28,SEAV,2.0,10,ACB,25310,10
29,NABV,15.0,15,ICBV,25315,15
30,MSB,2.0,13,NCB,25313,13
31,Fubon,3.0,0,MSB,25300,0
32,ACB,3.0,14,SABH,25314,14
33,VIB,2.0,15,ICBV,25315,15
34,SEAV,3.0,20,VIB,25320,20
35,SEAV,3.0,18,SABH,25318,18
36,SEAV,3.0,18,KLBV,25318,18
37,ABBK,5.0,25,LVBT,25325,25
38,ABBK,5.0,22,VIB,25322,22
39,ABBK,5.0,25,MB,25325,25
40,ABBK,2.0,22,NCB,25322,22
41,ABBK,5.0,25,MB,25325,25
42,ICBV,2.0,20,MB,25320,20
43,TCB,3.0,10,MSB,25310,10
44,MSB,1.5,13,OCB,25313,13
45,MSB,3.0,15,VIB,25315,15
46,MSB,3.0,15,MB,25315,15
47,MSB,3.0,18,MB,25318,18
48,VIB,3.0,18,ABBK,25318,18
49,VIB,3.0,18,SABH,25318,18
50,VIB,3.0,17,ICBV,25317,17
51,MB,5.0,19,SHB,25319,19
52,MSB,2.0,22,SABH,25322,22
53,MSB,2.0,25,ABBK,25325,25
54,LVBT,1.0,30,Fubon,25330,30
55,LVBT,1.0,28,SABH,25328,28
56,VNTT,3.0,33,MB,25333,33
57,TCB,5.0,15,VIB,25315,15
58,VIB,2.0,17,MSB,25317,17
59,Fubon,0.5,16,Indovina,25316,16
60,MB,3.0,15,MSB,25315,15
61,MB,3.0,15,MSB,25315,15
62,MB,5.0,38,SABH,25338,38
63,SEAV,3.0,35,SABH,25335,35
64,MSB,2.0,55,ICBV,25355,55
65,NABV,5.0,52,ABBK,25352,52
66,ABBK,5.0,50,MSB,25350,50
67,SEAV,10.0,60,LVBT,25360,60
68,SEAV,10.0,56,SABH,25356,56
