STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
1,TPB,2.0,22,ABBK,25322,22
2,NCB,3.0,10,NABV,25310,10
3,NABV,3.0,30,VIB,25330,30
4,NABV,3.0,25,ABBK,25325,25
5,ICBV,10.0,25,NABV,25325,25
6,ICBV,2.0,22,VIB,25322,22
7,NCB,5.0,10,VIB,25310,10
8,VIB,5.0,13,BIDV,25313,13
9,OCB,2.5,13,VIB,25313,13
10,PVCB,3.0,0,TPB,25300,0
11,HDB,3.0,94,LVBT,25394,94
12,BIDV,5.0,0,EIBV,25300,0
13,BIDV,5.0,98,LVBT,25398,98
14,ABBK,2.0,86,ICBV,25386,86
15,EIBV,2.0,86,ICBV,25386,86
16,ICBV,2.0,89,VPB,25389,89
17,OCB,2.0,95,VPB,25395,95
18,OCB,2.0,93,MSB,25393,93
19,ABBK,0.5,90,BVBH,25390,90
20,ACB,4.0,93,ABBK,25393,93
21,LVBT,15.0,0,TPB,25300,0
22,LVBT,15.0,0,ABBK,25300,0
23,TCB,5.0,90,OCB,25390,90
24,VCB,2.0,93,VPB,25393,93
25,SGTT,2.0,92,VIB,25392,92
26,SGTT,2.0,92,EIBV,25392,92
27,VPB,3.0,96,VIB,25396,96
28,VCB,3.0,95,MB,25395,95
29,MSB,5.0,99,ABBK,25399,99
30,VPB,2.0,5,SEAV,25305,5
31,SEAV,5.0,7,VNTT,25307,7
32,SEAV,2.0,10,ACB,25310,10
33,NABV,15.0,15,ICBV,25315,15
34,MSB,2.0,13,NCB,25313,13
35,ACB,3.0,14,SABH,25314,14
36,VIB,2.0,15,ICBV,25315,15
37,SEAV,3.0,20,VIB,25320,20
38,SEAV,3.0,18,SABH,25318,18
39,SEAV,3.0,18,KLBV,25318,18
40,TPB,5.0,25,LVBT,25325,25
41,TPB,5.0,25,PVCB,25325,25
42,TPB,2.0,22,NCB,25322,22
43,TPB,5.0,25,EIBV,25325,25
44,ICBV,2.0,20,MB,25320,20
45,TCB,3.0,10,MSB,25310,10
46,MSB,1.5,13,OCB,25313,13
47,MSB,3.0,15,VIB,25315,15
48,TPB,3.0,12,MSB,25312,12
49,MSB,3.0,15,SGTT,25315,15
50,TPB,3.0,18,SGTT,25318,18
51,VIB,3.0,18,ABBK,25318,18
52,VIB,3.0,18,SABH,25318,18
53,VIB,3.0,17,ICBV,25317,17
54,PVCB,5.0,19,SHB,25319,19
55,MSB,2.0,22,SABH,25322,22
56,MSB,2.0,25,ABBK,25325,25
57,LVBT,1.0,30,Fubon,25330,30
58,LVBT,1.0,28,SABH,25328,28
59,VNTT,3.0,33,EIBV,25333,33
60,TCB,5.0,15,VIB,25315,15
61,VIB,2.0,17,MSB,25317,17
62,Fubon,0.5,16,Indovina,25316,16
63,MB,3.0,15,MSB,25315,15
64,MB,3.0,15,MSB,25315,15
65,MB,5.0,38,SABH,25338,38
66,SEAV,3.0,35,SABH,25335,35
67,MSB,2.0,55,ICBV,25355,55
68,NABV,5.0,52,ABBK,25352,52
69,TPB,2.0,60,VBAH,25360,60
70,ABBK,5.0,50,MSB,25350,50
71,SEAV,10.0,60,LVBT,25360,60
72,SEAV,10.0,56,SABH,25356,56
73,SABH,0.5,48,Indovina,25348,48
74,VCCB,0.5,45,VIB,25345,45
75,VIB,3.0,55,ABBK,25355,55
76,TPB,3.0,50,LVBT,25350,50
77,MSB,3.0,47,BIDV,25347,47
78,SABH,2.0,41,ABBK,25341,41
79,SABH,2.0,38,PVCB,25338,38
80,MB,3.0,38,VBAH,25338,38
81,SABH,3.0,33,BIDV,25333,33
82,SABH,5.0,25,TCB,25325,25
83,VIB,3.0,30,TPB,25330,30
84,BIDV,5.0,42,SHB,25342,42
85,SEAV,2.0,35,VPB,25335,35
86,OCB,5.0,35,ICBV,25335,35
87,OCB,5.0,33,SHB,25333,33
88,LVBT,3.0,35,BVBH,25335,35
89,VIB,5.0,30,TPB,25330,30
90,TPB,5.0,35,VIB,25335,35
91,NABV,0.5,29,Indovina,25329,29
92,BIDV,2.0,30,OCB,25330,30
93,MSB,2.0,35,SGTT,25335,35
94,ICBV,3.0,33,MSB,25333,33
95,VCCB,2.0,33,MSB,25333,33
96,TPB,2.0,35,ACB,25335,35
97,VCCB,0.5,49,VBAH,25349,49
98,VCCB,2.0,33,SEAV,25333,33
99,SEAV,5.0,38,BIDV,25338,38
100,SEAV,5.0,36,SABH,25336,36
101,SEAV,3.0,35,TPB,25335,35
102,SABH,3.0,30,ABBK,25330,30
103,TCB,3.0,28,SGTT,25328,28
104,MSB,2.0,31,KLBV,25331,31
105,TCB,3.0,25,TPB,25325,25
106,NABV,3.0,23,PVCB,25323,23
107,NABV,3.0,24,LVBT,25324,24
108,SGTT,2.0,21,MB,25321,21
109,SEAV,5.0,20,LVBT,25320,20
110,ACB,5.0,17,SEAV,25317,17
111,SABH,2.0,12,ICBV,25312,12
112,MB,1.0,5,VPB,25305,5
113,VCB,1.0,3,MB,25303,3
114,TPB,2.0,3,MB,25303,3
115,TPB,2.0,2,PVCB,25302,2
116,TCB,2.0,0,TPB,25300,0
117,LVBT,2.0,5,MB,25305,5
118,SEAV,2.0,10,MB,25310,10
119,TPB,5.0,18,BIDV,25318,18
120,SGTT,2.0,15,BVBH,25315,15
121,BVBH,2.0,2,LVBT,25302,2
122,VNTT,2.0,70,BIDV,25370,70
123,HDB,5.0,5,LVBT,25305,5
124,OCB,2.0,0,ICBV,25300,0
125,EIBV,2.0,0,ICBV,25300,0
126,MSB,2.0,10,ABBK,25310,10
127,SEAV,3.0,14,VCCB,25314,14
128,SEAV,5.0,18,Fubon,25318,18
129,SEAV,5.0,20,MSB,25320,20
130,SEAV,2.0,18,VCCB,25318,18
131,SEAV,5.0,17,ICBV,25317,17
132,TCB,3.0,7,SEAV,25307,7
133,TCB,5.0,5,SEAV,25305,5
134,TCB,5.0,3,SEAV,25303,3
135,VNTT,3.0,0,ABBK,25300,0
136,VCCB,3.0,5,MB,25305,5
137,VCCB,3.0,5,VIB,25305,5
138,MSB,3.0,95,VCCB,25395,95
139,VCCB,3.0,0,PVCB,25300,0
140,VCCB,3.0,0,BIDV,25300,0
141,VCCB,3.0,0,OCB,25300,0
142,SABH,3.0,92,VCCB,25392,92
143,VCCB,3.0,0,ICBV,25300,0
144,ICBV,3.0,96,VCCB,25396,96
145,SABH,3.0,96,VCCB,25396,96
146,VCCB,2.0,0,Fubon,25300,0
147,VIB,2.0,96,OCB,25396,96
148,TCB,2.0,93,MSB,25393,93
149,MSB,3.0,95,PVCB,25395,95
150,SHB,5.0,94,VIB,25394,94
151,MB,2.0,96,Fubon,25396,96
152,HDB,2.0,96,ACB,25396,96
153,ACB,2.0,0,BIDV,25300,0
154,ACB,2.0,98,VIB,25398,98
155,SABH,2.0,95,PVCB,25395,95
156,ICBV,1.0,96,Fubon,25396,96
157,Fubon,1.0,0,VPB,25300,0
158,Fubon,1.0,0,MB,25300,0
159,SABH,3.0,0,BIDV,25300,0
160,SABH,3.0,0,EIBV,25300,0
161,ACB,2.0,98,BVBH,25398,98
162,SHB,3.0,91,NCB,25391,91
163,SHB,3.0,93,VCB,25393,93
164,Fubon,2.0,91,ICBV,25391,91
165,Fubon,1.0,91,TPB,25391,91
166,TPB,1.0,95,VPB,25395,95
167,TPB,1.0,93,ICBV,25393,93
168,TPB,1.0,91,NCB,25391,91
169,NCB,3.0,93,TPB,25393,93
170,SABH,1.0,91,TCB,25391,91
171,TCB,5.0,94,MB,25394,94
172,ACB,3.0,93,NCB,25393,93
173,ACB,2.0,93,Fubon,25393,93
174,Fubon,2.0,98,VIB,25398,98
175,ACB,2.0,95,HDB,25395,95
176,TCB,12.0,95,HDB,25395,95
177,ACB,2.0,0,OCB,25300,0
178,ABBK,2.0,0,OCB,25300,0
179,ICBV,2.0,0,OCB,25300,0
180,OCB,2.0,8,VIB,25308,8
181,OCB,2.0,9,VBAH,25309,9
182,OCB,2.0,7,MB,25307,7
183,VCB,2.0,0,OCB,25300,0
184,OCB,2.0,8,MSB,25308,8
185,Fubon,2.0,0,OCB,25300,0
186,ACB,2.0,93,BVBH,25393,93
187,TCB,5.0,95,BVBH,25395,95
188,Fubon,1.0,96,BVBH,25396,96
189,BVBH,2.0,98,PVCB,25398,98
190,VPB,2.0,99,PVCB,25399,99
191,VNTT,1.0,7,ACB,25307,7
192,TPB,1.0,6,VNTT,25306,6
193,SEAV,0.5,90,Indovina,25390,90
194,NCB,5.0,90,VIB,25390,90
195,PVCB,2.0,88,VIB,25388,88
196,MSB,1.0,89,VBAH,25389,89
197,OCB,3.5,88,TCB,25388,88
198,BIDV,2.0,81,PVCB,25381,81
199,PVCB,2.0,82,VCCB,25382,82
200,PVCB,5.0,83,NCB,25383,83
201,MSB,2.0,80,PVCB,25380,80
202,MB,2.0,78,ACB,25378,78
203,ACB,2.0,80,SABH,25380,80
204,ACB,2.0,80,VBAH,25380,80
205,TCB,3.0,82,SABH,25382,82
206,TCB,2.0,80,VBAH,25380,80
207,BIDV,2.0,76,TCB,25376,76
208,ACB,2.0,72,VPB,25372,72
209,PVCB,2.0,70,Fubon,25370,70
210,VPB,2.0,60,ACB,25360,60
211,NCB,2.0,65,ACB,25365,65
212,ICBV,2.0,60,ACB,25360,60
213,MSB,2.0,66,ACB,25366,66
214,ACB,3.0,70,BIDV,25370,70
215,OCB,2.0,67,ACB,25367,67
216,MSB,1.0,72,Indovina,25372,72
217,NCB,2.0,75,ABBK,25375,75
218,OCB,1.0,75,BVBH,25375,75
219,TCB,3.0,77,ABBK,25377,77
220,MSB,3.0,77,VPB,25377,77
221,TCB,3.0,75,BIDV,25375,75
222,NCB,1.0,79,VBAH,25379,79
223,VIB,2.0,80,SABH,25380,80
224,ICBV,2.0,77,VIB,25377,77
225,ACB,3.0,80,SABH,25380,80
226,BIDV,1.0,82,MSB,25382,82
227,BIDV,1.0,76,VCCB,25376,76
228,NCB,1.0,80,BIDV,25380,80
229,VCCB,1.0,83,ICBV,25383,83
230,ICBV,2.0,80,VCB,25380,80
231,ACB,3.0,73,MSB,25373,73
232,TCB,2.0,72,BIDV,25372,72
233,LVBT,5.0,8,SABH,25308,8
234,VNTT,5.0,0,ICBV,25300,0
235,TPB,5.0,10,NCB,25310,10
236,SEAV,5.0,5,ICBV,25305,5
237,SGTT,4.0,98,VBAH,25398,98
238,VCB,1.0,96,Fubon,25396,96
239,ACB,1.0,96,Fubon,25396,96
240,Fubon,1.0,0,MB,25300,0
241,MSB,2.0,99,PVCB,25399,99
242,SABH,1.0,92,ACB,25392,92
243,Fubon,1.0,60,VPB,25360,60
244,TCB,2.0,63,VNTT,25363,63
245,VNTT,1.0,70,Fubon,25370,70
246,VNTT,2.0,70,MSB,25370,70
247,SABH,2.0,60,VNTT,25360,60
248,SABH,2.0,60,VNTT,25360,60
249,MSB,2.0,63,VNTT,25363,63
250,ICBV,2.0,61,VNTT,25361,61
251,VNTT,2.0,65,MB,25365,65
252,SABH,1.0,66,Fubon,25366,66
253,NCB,2.0,70,PVCB,25370,70
254,SABH,1.0,66,NCB,25366,66
255,TCB,3.0,63,VNTT,25363,63
256,Indovina,1.0,68,VCB,25368,68
257,VCB,1.0,68,VBAH,25368,68
258,TCB,20.0,60,ABBK,25360,60
259,VPB,20.0,60,TCB,25360,60
260,ICBV,2.0,61,TCB,25361,61
261,ABBK,5.0,65,PVCB,25365,65
262,TCB,5.0,65,LVBT,25365,65
263,HDB,1.0,66,VBAH,25366,66
264,HDB,10.0,65,NCB,25365,65
265,VNTT,3.0,50,PVCB,25350,50
266,PVCB,3.0,55,LVBT,25355,55
267,VCB,2.0,55,NCB,25355,55
268,PVCB,2.0,40,VCB,25340,40
269,VCB,2.0,55,MB,25355,55
270,PVCB,3.0,55,ACB,25355,55
271,BIDV,0.5,60,VNTT,25360,60
272,BIDV,0.8,58,Indovina,25358,58
273,VCCB,0.8,56,BIDV,25356,56
274,MSB,1.0,55,Fubon,25355,55
275,ABBK,2.0,52,PVCB,25352,52
276,SEAV,2.0,45,ABBK,25345,45
277,TCB,5.0,45,SGTT,25345,45
278,ICBV,2.0,45,NCB,25345,45
279,MB,3.0,40,MSB,25340,40
280,ACB,2.0,33,SEAV,25333,33
281,MSB,2.0,27,NABV,25327,27
282,NCB,0.5,25,VPB,25325,25
283,OCB,0.5,20,NCB,25320,20
284,BVBH,3.0,15,SABH,25315,15
285,VNTT,3.0,15,SABH,25315,15
286,MSB,5.0,20,ABBK,25320,20
287,ABBK,5.0,19,OCB,25319,19
288,MSB,5.0,5,ABBK,25305,5
289,MSB,5.0,8,ABBK,25308,8
290,EIBV,5.0,10,ABBK,25310,10
291,MSB,5.0,5,SEAV,25305,5
292,EIBV,5.0,5,SEAV,25305,5
293,SEAV,5.0,10,OCB,25310,10
294,VPB,3.0,10,NCB,25310,10
295,KLBV,2.0,0,MSB,25300,0
296,MSB,2.0,0,SEAV,25300,0
297,SHB,5.0,97,SGTT,25397,97
298,MSB,5.0,92,NABV,25392,92
299,NCB,5.0,50,VPB,25350,50
300,MSB,5.0,60,VPB,25360,60
301,VNTT,5.0,70,VPB,25370,70
302,ABBK,2.0,80,VPB,25380,80
303,SEAV,5.0,80,VPB,25380,80
304,MSB,5.0,80,VPB,25380,80
305,TCB,2.0,86,VPB,25386,86
306,EIBV,5.0,94,NCB,25394,94
307,SGTT,5.0,10,MSB,25310,10
308,SEAV,3.0,5,OCB,25305,5
309,VPB,5.0,10,ABBK,25310,10
310,VPB,3.0,10,OCB,25310,10
311,HDB,7.0,10,MSB,25310,10
312,BVBH,7.0,0,HDB,25300,0
313,SABH,1.0,2,HDB,25302,2
314,VNTT,2.0,20,BVBH,25320,20
315,VNTT,10.0,20,OCB,25320,20
316,Fubon,2.0,20,OCB,25320,20
317,Fubon,2.0,20,BIDV,25320,20
318,MSB,5.0,20,BIDV,25320,20
319,MSB,3.0,15,TPB,25315,15
320,TPB,2.0,20,BVBH,25320,20
321,TPB,1.0,18,Indovina,25318,18
322,SHB,3.0,8,MSB,25308,8
323,ABBK,1.0,23,Fubon,25323,23
324,EIBV,1.0,23,MSB,25323,23
325,MSB,1.0,23,VCCB,25323,23
326,OCB,2.0,12,NABV,25312,12
327,NCB,5.0,23,ABBK,25323,23
328,SEAV,2.0,25,ABBK,25325,25
329,SEAV,2.0,25,MSB,25325,25
330,SEAV,10.0,25,NCB,25325,25
331,MSB,2.0,35,PVCB,25335,35
332,MSB,1.0,33,TPB,25333,33
333,VIB,3.0,30,MSB,25330,30
334,OCB,4.0,30,SEAV,25330,30
335,SEAV,3.0,33,SABH,25333,33
