STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
1,ABBK,2.0,25,SABH,25325,25
2,ABBK,2.0,25,VIB,25325,25
3,ABBK,3.0,25,ICBV,25325,25
4,VNTT,2.0,7,SEAV,25307,7
5,VNTT,3.0,33,ABBK,25333,33
6,ACB,4.0,93,ABBK,25393,93
7,ACB,3.0,89,VPB,25389,89
8,ABBK,3.0,95,MB,25395,95
9,ABBK,15.0,15,NCB,25315,15
10,ABBK,3.0,20,LVBT,25320,20
11,ABBK,2.0,25,MSB,25325,25
12,ABBK,2.0,25,NCB,25325,25
13,ABBK,3.0,25,MB,25325,25
14,VIB,2.0,25,NCB,25325,25
15,ABBK,3.0,25,LVBT,25325,25
16,ABBK,2.0,22,MSB,25322,22
17,HDB,3.0,94,LVBT,25394,94
