STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
1,TPB,2.0,22,ABBK,25322,22
2,NCB,3.0,10,NABV,25310,10
3,NABV,3.0,30,VIB,25330,30
4,NABV,3.0,25,ABBK,25325,25
5,ICBV,10.0,25,NABV,25325,25
6,ICBV,3.0,25,BVBH,25325,25
7,ICBV,3.0,25,ABBK,25325,25
8,ICBV,2.0,22,VIB,25322,22
9,NCB,5.0,10,VIB,25310,10
10,ICBV,5.0,10,VIB,25310,10
11,VIB,5.0,13,BIDV,25313,13
12,OCB,2.5,13,VIB,25313,13
13,PVCB,3.0,0,TPB,25300,0
14,HDB,3.0,94,LVBT,25394,94
15,BIDV,5.0,0,EIBV,25300,0
16,BIDV,5.0,98,LVBT,25398,98
17,ICBV,2.0,86,VCB,25386,86
18,ABBK,2.0,86,ICBV,25386,86
19,EIBV,2.0,86,ICBV,25386,86
20,ICBV,2.0,89,VPB,25389,89
21,OCB,2.0,95,VPB,25395,95
22,OCB,2.0,93,MSB,25393,93
23,ABBK,0.5,90,BVBH,25390,90
24,ACB,4.0,93,ABBK,25393,93
25,NCB,4.0,95,LVBT,25395,95
26,LVBT,15.0,0,TPB,25300,0
27,LVBT,15.0,0,ABBK,25300,0
28,TCB,3.0,90,OCB,25390,90
29,VCB,2.0,93,VPB,25393,93
30,SGTT,2.0,92,VIB,25392,92
31,SGTT,2.0,92,EIBV,25392,92
32,ABBK,2.0,94,VBAH,25394,94
33,VPB,3.0,96,VIB,25396,96
34,VCB,3.0,95,MB,25395,95
35,MSB,10.0,0,MB,25300,0
36,MSB,5.0,99,ABBK,25399,99
37,BIDV,10.0,98,MSB,25398,98
38,OCB,10.0,99,MSB,25399,99
39,VPB,2.0,5,SEAV,25305,5
40,SEAV,5.0,7,VNTT,25307,7
41,SEAV,2.0,10,ACB,25310,10
42,NABV,15.0,15,ICBV,25315,15
43,MSB,2.0,13,NCB,25313,13
44,ACB,3.0,14,SABH,25314,14
45,VIB,2.0,15,ICBV,25315,15
46,SEAV,3.0,20,VIB,25320,20
47,SEAV,3.0,18,SABH,25318,18
48,ABBK,3.0,15,SEAV,25315,15
49,SEAV,3.0,18,KLBV,25318,18
50,TPB,5.0,25,LVBT,25325,25
51,TPB,5.0,22,VIB,25322,22
52,TPB,5.0,25,PVCB,25325,25
53,TPB,2.0,22,NCB,25322,22
54,TPB,5.0,25,EIBV,25325,25
55,ICBV,2.0,20,MB,25320,20
56,TCB,3.0,10,MSB,25310,10
57,MSB,1.5,13,OCB,25313,13
58,MSB,3.0,15,VIB,25315,15
59,TPB,3.0,12,MSB,25312,12
60,MSB,3.0,15,SGTT,25315,15
61,TPB,3.0,18,SGTT,25318,18
62,VIB,3.0,18,ABBK,25318,18
63,VIB,3.0,18,SABH,25318,18
64,VIB,3.0,17,ICBV,25317,17
65,PVCB,5.0,19,SHB,25319,19
66,MSB,2.0,22,SABH,25322,22
67,MSB,2.0,25,ABBK,25325,25
68,LVBT,1.0,30,Fubon,25330,30
69,LVBT,3.0,30,MB,25330,30
70,LVBT,1.0,28,SABH,25328,28
71,TPB,2.0,33,MB,25333,33
72,VNTT,3.0,33,EIBV,25333,33
73,VNTT,3.0,32,PVCB,25332,32
74,TCB,5.0,15,VIB,25315,15
75,VIB,2.0,17,MSB,25317,17
76,Fubon,0.5,16,Indovina,25316,16
77,MB,3.0,15,MSB,25315,15
78,MB,3.0,15,MSB,25315,15
79,MB,5.0,38,SABH,25338,38
80,SEAV,3.0,35,SABH,25335,35
81,MSB,2.0,55,ICBV,25355,55
82,NABV,5.0,58,SABH,25358,58
83,NABV,5.0,52,ABBK,25352,52
84,TPB,2.0,60,VBAH,25360,60
85,TPB,2.0,58,ICBV,25358,58
86,ICBV,2.0,60,LVBT,25360,60
87,ICBV,2.0,59,PVCB,25359,59
88,ABBK,5.0,50,MSB,25350,50
89,SEAV,10.0,60,LVBT,25360,60
90,SEAV,10.0,56,SABH,25356,56
91,SABH,0.5,48,Indovina,25348,48
92,VCCB,0.5,45,VIB,25345,45
93,VIB,3.0,55,ABBK,25355,55
94,TPB,3.0,50,LVBT,25350,50
95,MSB,3.0,47,BIDV,25347,47
96,SABH,2.0,41,ABBK,25341,41
97,SABH,2.0,38,PVCB,25338,38
98,MB,3.0,38,VBAH,25338,38
99,SABH,3.0,33,BIDV,25333,33
100,SABH,5.0,25,TCB,25325,25
101,VIB,3.0,30,TPB,25330,30
102,BIDV,5.0,42,SHB,25342,42
103,SEAV,2.0,35,VPB,25335,35
104,OCB,5.0,35,ICBV,25335,35
105,OCB,5.0,33,SHB,25333,33
106,LVBT,3.0,35,BVBH,25335,35
107,VIB,5.0,30,TPB,25330,30
108,TPB,5.0,35,VIB,25335,35
109,NABV,0.5,29,Indovina,25329,29
110,BIDV,2.0,30,OCB,25330,30
111,MSB,2.0,35,SGTT,25335,35
112,ICBV,3.0,33,MSB,25333,33
113,VCCB,1.0,33,MSB,25333,33
114,TPB,2.0,35,ACB,25335,35
115,VCCB,0.5,49,VBAH,25349,49
116,VCCB,2.0,33,SEAV,25333,33
117,SEAV,5.0,38,BIDV,25338,38
118,SEAV,5.0,36,SABH,25336,36
119,SEAV,3.0,35,TPB,25335,35
120,SABH,3.0,30,ABBK,25330,30
121,TCB,3.0,28,SGTT,25328,28
122,MSB,2.0,31,KLBV,25331,31
123,VCCB,3.0,24,VIB,25324,24
124,NABV,3.0,23,PVCB,25323,23
125,NABV,3.0,24,LVBT,25324,24
126,SGTT,2.0,21,MB,25321,21
127,SEAV,5.0,20,LVBT,25320,20
128,ACB,5.0,17,SEAV,25317,17
129,SABH,2.0,12,ICBV,25312,12
130,MB,1.0,5,VPB,25305,5
131,VCB,1.0,3,MB,25303,3
132,TPB,2.0,3,MB,25303,3
133,TPB,2.0,2,PVCB,25302,2
134,TCB,2.0,0,TPB,25300,0
135,LVBT,2.0,5,MB,25305,5
136,SEAV,2.0,10,MB,25310,10
137,HDB,1.0,15,BIDV,25315,15
138,HDB,1.0,22,VCCB,25322,22
139,TPB,5.0,18,BIDV,25318,18
140,SGTT,2.0,15,BVBH,25315,15
141,BIDV,2.0,5,LVBT,25305,5
142,BVBH,2.0,2,LVBT,25302,2
143,VNTT,2.0,70,BIDV,25370,70
144,HDB,5.0,5,LVBT,25305,5
145,OCB,2.0,0,ICBV,25300,0
146,EIBV,2.0,0,ICBV,25300,0
147,HDB,1.0,6,MSB,25306,6
148,MSB,2.0,10,ABBK,25310,10
149,SEAV,17.0,10,ABBK,25310,10
150,SEAV,3.0,14,VCCB,25314,14
151,SEAV,5.0,18,Fubon,25318,18
152,SEAV,5.0,20,MSB,25320,20
153,SEAV,2.0,18,VCCB,25318,18
154,SEAV,5.0,17,ICBV,25317,17
155,TCB,3.0,7,SEAV,25307,7
156,TCB,5.0,5,SEAV,25305,5
157,TCB,5.0,3,SEAV,25303,3
158,VNTT,3.0,0,ABBK,25300,0
159,VNTT,5.0,95,MSB,25395,95
160,VCCB,3.0,5,MB,25305,5
161,VCCB,3.0,5,VIB,25305,5
162,MSB,3.0,95,VCCB,25395,95
163,VCCB,3.0,0,PVCB,25300,0
164,VCCB,3.0,0,BIDV,25300,0
165,VCCB,3.0,0,OCB,25300,0
166,SABH,3.0,92,VCCB,25392,92
167,VCCB,3.0,0,ICBV,25300,0
168,ICBV,3.0,96,VCCB,25396,96
169,SABH,3.0,96,VCCB,25396,96
170,VCCB,2.0,0,Fubon,25300,0
171,VIB,2.0,96,OCB,25396,96
172,TCB,2.0,93,MSB,25393,93
173,MSB,3.0,95,PVCB,25395,95
174,SHB,5.0,94,VIB,25394,94
175,MB,2.0,96,Fubon,25396,96
176,HDB,5.0,98,BIDV,25398,98
177,HDB,2.0,96,ACB,25396,96
178,ACB,2.0,0,BIDV,25300,0
179,ACB,2.0,98,VIB,25398,98
180,SABH,2.0,95,PVCB,25395,95
181,ICBV,1.0,96,Fubon,25396,96
182,Fubon,1.0,0,VPB,25300,0
183,Fubon,1.0,0,MB,25300,0
184,SABH,3.0,0,BIDV,25300,0
185,SABH,3.0,0,EIBV,25300,0
186,SABH,3.0,99,MSB,25399,99
187,ACB,3.0,0,MB,25300,0
188,ACB,2.0,98,BVBH,25398,98
189,SHB,3.0,91,NCB,25391,91
190,SHB,3.0,93,VCB,25393,93
191,Fubon,2.0,91,ICBV,25391,91
192,Fubon,1.0,91,TPB,25391,91
193,TPB,1.0,91,NCB,25391,91
194,NCB,3.0,93,TPB,25393,93
195,TCB,5.0,92,TPB,25392,92
196,SABH,1.0,91,TCB,25391,91
197,TCB,5.0,94,MB,25394,94
198,ACB,3.0,93,NCB,25393,93
199,ACB,2.0,93,Fubon,25393,93
200,Fubon,2.0,98,VIB,25398,98
201,ACB,2.0,95,HDB,25395,95
202,TCB,12.0,95,HDB,25395,95
203,ACB,2.0,0,OCB,25300,0
204,ABBK,2.0,0,OCB,25300,0
205,ICBV,2.0,0,OCB,25300,0
206,OCB,2.0,8,VIB,25308,8
207,OCB,2.0,9,VBAH,25309,9
208,OCB,2.0,7,MB,25307,7
209,VCB,2.0,0,OCB,25300,0
210,OCB,2.0,8,MSB,25308,8
211,Fubon,2.0,0,OCB,25300,0
212,ACB,2.0,93,BVBH,25393,93
213,TCB,5.0,95,BVBH,25395,95
214,Fubon,1.0,96,BVBH,25396,96
215,BVBH,2.0,98,PVCB,25398,98
216,VPB,2.0,99,PVCB,25399,99
217,VNTT,1.0,7,ACB,25307,7
218,TPB,1.0,6,VNTT,25306,6
219,SEAV,0.5,90,Indovina,25390,90
220,NCB,5.0,90,VIB,25390,90
221,MSB,1.0,89,VBAH,25389,89
222,OCB,3.5,88,TCB,25388,88
223,BIDV,2.0,81,PVCB,25381,81
224,PVCB,1.0,82,VCCB,25382,82
225,PVCB,5.0,83,NCB,25383,83
226,MSB,2.0,80,PVCB,25380,80
227,MB,2.0,78,ACB,25378,78
228,ACB,2.0,80,VBAH,25380,80
229,TCB,3.0,82,SABH,25382,82
230,TCB,2.0,80,VBAH,25380,80
231,BIDV,2.0,76,TCB,25376,76
232,ACB,2.0,72,VPB,25372,72
233,PVCB,2.0,70,Fubon,25370,70
234,VPB,2.0,60,ACB,25360,60
235,NCB,2.0,65,ACB,25365,65
236,ICBV,2.0,60,ACB,25360,60
237,ACB,2.0,65,TCB,25365,65
238,MSB,2.0,66,ACB,25366,66
239,ACB,3.0,70,BIDV,25370,70
240,OCB,2.0,67,ACB,25367,67
241,MSB,1.0,72,Indovina,25372,72
242,NCB,2.0,75,ABBK,25375,75
243,OCB,1.0,75,BVBH,25375,75
244,TCB,3.0,77,ABBK,25377,77
245,VPB,3.0,80,SABH,25380,80
246,VPB,5.0,80,VIB,25380,80
247,MSB,3.0,77,VPB,25377,77
248,TCB,3.0,75,BIDV,25375,75
249,NCB,1.0,79,VBAH,25379,79
250,VIB,2.0,80,SABH,25380,80
251,ICBV,2.0,77,VIB,25377,77
252,ACB,3.0,80,SABH,25380,80
253,BIDV,1.0,82,MSB,25382,82
254,BIDV,1.0,76,VCCB,25376,76
255,NCB,1.0,80,BIDV,25380,80
256,VCCB,1.0,83,ICBV,25383,83
257,ICBV,2.0,80,VCB,25380,80
258,ACB,3.0,73,MSB,25373,73
259,ICBV,0.5,1,OCB,25301,1
260,OCB,0.5,96,BIDV,25396,96
261,OCB,0.5,73,BIDV,25373,73
262,VCB,0.5,57,OCB,25357,57
263,OCB,0.5,70,Indovina,25370,70
264,TCB,2.0,72,BIDV,25372,72
265,LVBT,5.0,8,SABH,25308,8
266,VNTT,5.0,0,ICBV,25300,0
267,TPB,5.0,10,NCB,25310,10
268,SEAV,5.0,5,ICBV,25305,5
269,SGTT,4.0,98,VBAH,25398,98
270,VCB,1.0,96,Fubon,25396,96
271,ACB,1.0,96,Fubon,25396,96
272,Fubon,1.0,0,MB,25300,0
273,MSB,2.0,99,PVCB,25399,99
274,VIB,3.0,99,MB,25399,99
275,SABH,1.0,92,ACB,25392,92
276,Fubon,1.0,60,VPB,25360,60
277,TCB,2.0,63,VNTT,25363,63
278,VNTT,2.0,60,ACB,25360,60
279,VNTT,1.0,70,Fubon,25370,70
280,VNTT,2.0,70,MSB,25370,70
281,SABH,2.0,60,VNTT,25360,60
282,SABH,2.0,60,VNTT,25360,60
283,MSB,2.0,63,VNTT,25363,63
284,ICBV,2.0,61,VNTT,25361,61
285,VNTT,2.0,65,MB,25365,65
286,TPB,3.0,67,MSB,25367,67
287,SABH,1.0,66,Fubon,25366,66
288,NCB,2.0,70,PVCB,25370,70
289,SABH,1.0,66,NCB,25366,66
290,TCB,3.0,63,VNTT,25363,63
291,Indovina,1.0,68,VCB,25368,68
292,VCB,1.0,68,VBAH,25368,68
293,TCB,3.0,60,ABBK,25360,60
294,VPB,20.0,60,TCB,25360,60
295,ICBV,2.0,61,TCB,25361,61
296,ABBK,5.0,65,PVCB,25365,65
297,TCB,5.0,65,LVBT,25365,65
298,HDB,1.0,66,VBAH,25366,66
299,HDB,10.0,65,NCB,25365,65
300,VNTT,3.0,50,PVCB,25350,50
301,PVCB,3.0,55,LVBT,25355,55
302,VCB,2.0,55,NCB,25355,55
303,PVCB,2.0,40,VCB,25340,40
304,VCB,2.0,55,MB,25355,55
305,PVCB,3.0,55,ACB,25355,55
306,BIDV,0.8,58,Indovina,25358,58
307,VCCB,1.0,56,BIDV,25356,56
308,MB,3.0,55,VCB,25355,55
309,MSB,1.0,55,Fubon,25355,55
310,OCB,2.0,60,Fubon,25360,60
311,ABBK,2.0,52,PVCB,25352,52
312,SEAV,2.0,45,ABBK,25345,45
313,TCB,5.0,45,SGTT,25345,45
314,ICBV,2.0,45,NCB,25345,45
315,TPB,5.0,35,OCB,25335,35
316,MB,3.0,40,MSB,25340,40
317,ACB,2.0,33,SEAV,25333,33
318,MSB,1.0,25,NABV,25325,25
319,VNTT,2.0,25,NABV,25325,25
320,MSB,2.0,27,NABV,25327,27
321,MB,2.0,20,NCB,25320,20
322,NCB,2.0,25,VPB,25325,25
323,OCB,0.5,20,NCB,25320,20
324,BVBH,3.0,15,SABH,25315,15
325,VNTT,3.0,15,SABH,25315,15
326,MSB,5.0,20,ABBK,25320,20
327,ABBK,5.0,19,OCB,25319,19
328,MSB,5.0,5,ABBK,25305,5
329,MSB,5.0,8,ABBK,25308,8
330,EIBV,5.0,10,ABBK,25310,10
331,MSB,5.0,0,SEAV,25300,0
332,MSB,5.0,5,SEAV,25305,5
333,EIBV,5.0,5,SEAV,25305,5
334,SEAV,2.0,12,BVBH,25312,12
335,SEAV,5.0,10,OCB,25310,10
